Timestamp,Temperature (C)
2024-01-22 00:30:00,95.07
2024-01-22 01:00:00,93.78
2024-01-22 01:30:00,93.58
2024-01-22 02:00:00,92.19
2024-01-22 02:30:00,90.86
2024-01-22 03:00:00,92.55
2024-01-22 03:30:00,94.12
2024-01-22 04:00:00,92.19
2024-01-22 04:30:00,91.76
2024-01-22 05:00:00,92.16
2024-01-22 05:30:00,90.98
2024-01-22 06:00:00,89.52
2024-01-22 06:30:00,90.72
2024-01-22 07:00:00,90.8
2024-01-22 07:30:00,92.44
2024-01-22 08:00:00,92.34
2024-01-22 08:30:00,92.17
2024-01-22 09:00:00,90.21
2024-01-22 09:30:00,89.9
2024-01-22 10:00:00,88.65
2024-01-22 10:30:00,86.94
2024-01-22 11:00:00,84.95
2024-01-22 11:30:00,84.49
2024-01-22 12:00:00,84.47
2024-01-22 12:30:00,85.19
2024-01-22 13:00:00,85.72
2024-01-22 13:30:00,83.77
2024-01-22 14:00:00,84.85
2024-01-22 14:30:00,83.6
2024-01-22 15:00:00,83.81
2024-01-22 15:30:00,84.91
2024-01-22 16:00:00,85.33
2024-01-22 16:30:00,85.61
2024-01-22 17:00:00,84.35
2024-01-22 17:30:00,84.37
2024-01-22 18:00:00,86.01
2024-01-22 18:30:00,86.82
2024-01-22 19:00:00,85.39
2024-01-22 19:30:00,84.97
2024-01-22 20:00:00,83.28
2024-01-22 20:30:00,84.23
2024-01-22 21:00:00,82.27
2024-01-22 21:30:00,82.51
2024-01-22 22:00:00,81.05
2024-01-22 22:30:00,80.06
2024-01-22 23:00:00,78.25
2024-01-22 23:30:00,77.77
2024-01-23 00:00:00,76.48
2024-01-23 00:30:00,76.15
2024-01-23 01:00:00,75.46
2024-01-23 01:30:00,73.92
2024-01-23 02:00:00,75.73
2024-01-23 02:30:00,74.8
2024-01-23 03:00:00,75.69
2024-01-23 03:30:00,77.38
2024-01-23 04:00:00,77.82
2024-01-23 04:30:00,79.22
2024-01-23 05:00:00,80.98
2024-01-23 05:30:00,82.12
2024-01-23 06:00:00,82.72
2024-01-23 06:30:00,83.66
2024-01-23 07:00:00,82.64
2024-01-23 07:30:00,80.83
2024-01-23 08:00:00,81.04
2024-01-23 08:30:00,79.99
2024-01-23 09:00:00,80.67
2024-01-23 09:30:00,79.5
2024-01-23 10:00:00,81.17
2024-01-23 10:30:00,82.88
2024-01-23 11:00:00,84.52
2024-01-23 11:30:00,83.17
2024-01-23 12:00:00,83.7
2024-01-23 12:30:00,82.28
2024-01-23 13:00:00,81.52
2024-01-23 13:30:00,81.05
2024-01-23 14:00:00,82.55
2024-01-23 14:30:00,82.35
2024-01-23 15:00:00,80.79
2024-01-23 15:30:00,79.17
2024-01-23 16:00:00,77.75
2024-01-23 16:30:00,79.1
2024-01-23 17:00:00,78.36
2024-01-23 17:30:00,77.38
2024-01-23 18:00:00,79.28
2024-01-23 18:30:00,80.05
2024-01-23 19:00:00,80.05
2024-01-23 19:30:00,78.82
2024-01-23 20:00:00,79.0
2024-01-23 20:30:00,79.55
2024-01-23 21:00:00,78.6
2024-01-23 21:30:00,78.81
2024-01-23 22:00:00,78.21
2024-01-23 22:30:00,78.81
2024-01-23 23:00:00,80.18
2024-01-23 23:30:00,81.69
2024-01-24 00:00:00,83.34
2024-01-24 00:30:00,83.97
2024-01-24 01:00:00,83.85
2024-01-24 01:30:00,82.83
2024-01-24 02:00:00,82.63
2024-01-24 02:30:00,81.2
2024-01-24 03:00:00,82.16
2024-01-24 03:30:00,81.19
2024-01-24 04:00:00,81.01
2024-01-24 04:30:00,79.07
2024-01-24 05:00:00,78.47
2024-01-24 05:30:00,77.21
2024-01-24 06:00:00,77.4
2024-01-24 06:30:00,76.72
2024-01-24 07:00:00,77.79
2024-01-24 07:30:00,76.65
2024-01-24 08:00:00,78.28
2024-01-24 08:30:00,79.23
2024-01-24 09:00:00,80.68
2024-01-24 09:30:00,81.08
2024-01-24 10:00:00,79.36
2024-01-24 10:30:00,79.72
2024-01-24 11:00:00,79.28
2024-01-24 11:30:00,79.98
2024-01-24 12:00:00,80.71
2024-01-24 12:30:00,82.06
2024-01-24 13:00:00,81.76
2024-01-24 13:30:00,81.95
2024-01-24 14:00:00,81.68
2024-01-24 14:30:00,83.17
2024-01-24 15:00:00,82.42
2024-01-24 15:30:00,80.45
2024-01-24 16:00:00,79.57
2024-01-24 16:30:00,78.72
2024-01-24 17:00:00,78.24
2024-01-24 17:30:00,77.02
2024-01-24 18:00:00,76.84
2024-01-24 18:30:00,76.76
2024-01-24 19:00:00,77.92
2024-01-24 19:30:00,76.59
2024-01-24 20:00:00,77.48
2024-01-24 20:30:00,79.27
2024-01-24 21:00:00,79.93
2024-01-24 21:30:00,78.94
2024-01-24 22:00:00,80.13
2024-01-24 22:30:00,82.13
2024-01-24 23:00:00,83.23
2024-01-24 23:30:00,82.65
2024-01-25 00:00:00,83.01
2024-01-25 00:30:00,81.9
2024-01-25 01:00:00,82.65
2024-01-25 01:30:00,82.42
2024-01-25 02:00:00,84.3
2024-01-25 02:30:00,83.63
2024-01-25 03:00:00,82.81
2024-01-25 03:30:00,81.32
2024-01-25 04:00:00,83.15
2024-01-25 04:30:00,84.87
2024-01-25 05:00:00,86.28
2024-01-25 05:30:00,87.39
2024-01-25 06:00:00,88.44
2024-01-25 06:30:00,89.43
2024-01-25 07:00:00,91.2
2024-01-25 07:30:00,91.25
2024-01-25 08:00:00,92.5
2024-01-25 08:30:00,94.49
2024-01-25 09:00:00,94.57
2024-01-25 09:30:00,92.69
2024-01-25 10:00:00,91.74
2024-01-25 10:30:00,92.53
2024-01-25 11:00:00,92.46
2024-01-25 11:30:00,91.73
2024-01-25 12:00:00,91.32
2024-01-25 12:30:00,93.12
2024-01-25 13:00:00,93.8
2024-01-25 13:30:00,95.12
2024-01-25 14:00:00,95.2
2024-01-25 14:30:00,93.75
2024-01-25 15:00:00,94.05
2024-01-25 15:30:00,92.08
2024-01-25 16:00:00,91.72
2024-01-25 16:30:00,92.58
2024-01-25 17:00:00,92.72
2024-01-25 17:30:00,93.98
2024-01-25 18:00:00,92.27
2024-01-25 18:30:00,93.02
2024-01-25 19:00:00,94.03
2024-01-25 19:30:00,93.33
2024-01-25 20:00:00,94.76
2024-01-25 20:30:00,96.69
2024-01-25 21:00:00,94.72
2024-01-25 21:30:00,92.78
2024-01-25 22:00:00,92.32
2024-01-25 22:30:00,91.44
2024-01-25 23:00:00,91.87
2024-01-25 23:30:00,90.26
2024-01-26 00:00:00,91.65
2024-01-26 00:30:00,92.38
2024-01-26 01:00:00,90.77
2024-01-26 01:30:00,92.17
2024-01-26 02:00:00,93.55
2024-01-26 02:30:00,93.2
2024-01-26 03:00:00,94.62
2024-01-26 03:30:00,94.34
2024-01-26 04:00:00,94.58
2024-01-26 04:30:00,93.17
2024-01-26 05:00:00,92.99
2024-01-26 05:30:00,94.4
2024-01-26 06:00:00,94.04
2024-01-26 06:30:00,95.05
2024-01-26 07:00:00,93.76
2024-01-26 07:30:00,95.6
2024-01-26 08:00:00,95.43
2024-01-26 08:30:00,94.11
2024-01-26 09:00:00,93.1
2024-01-26 09:30:00,92.57
2024-01-26 10:00:00,92.73
2024-01-26 10:30:00,91.88
2024-01-26 11:00:00,91.53
2024-01-26 11:30:00,91.47
2024-01-26 12:00:00,92.65
2024-01-26 12:30:00,92.94
2024-01-26 13:00:00,92.49
2024-01-26 13:30:00,92.66
2024-01-26 14:00:00,90.76
2024-01-26 14:30:00,91.84
2024-01-26 15:00:00,90.65
2024-01-26 15:30:00,90.18
2024-01-26 16:00:00,88.55
2024-01-26 16:30:00,86.89
2024-01-26 17:00:00,86.43
2024-01-26 17:30:00,87.86
2024-01-26 18:00:00,86.2
2024-01-26 18:30:00,84.71
2024-01-26 19:00:00,85.1
2024-01-26 19:30:00,85.5
2024-01-26 20:00:00,85.3
2024-01-26 20:30:00,84.25
2024-01-26 21:00:00,82.4
2024-01-26 21:30:00,82.2
